"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Nicaragua",NA,45,6.105,NA,0.694,1.325,0.835,0.435,0.127,0.2,NA,2019
"Kosovo",NA,46,6.1,NA,0.882,1.232,0.758,0.489,0.006,0.262,NA,2019
"Argentina",NA,47,6.086,NA,1.092,1.432,0.881,0.471,0.05,0.066,NA,2019
"Romania",NA,48,6.07,NA,1.162,1.232,0.825,0.462,0.005,0.083,NA,2019
"Cyprus",NA,49,6.046,NA,1.263,1.223,1.042,0.406,0.041,0.19,NA,2019
"Ecuador",NA,50,6.028,NA,0.912,1.312,0.868,0.498,0.087,0.126,NA,2019
"Kuwait",NA,51,6.021,NA,1.5,1.319,0.808,0.493,0.097,0.142,NA,2019
"Thailand",NA,52,6.008,NA,1.05,1.409,0.828,0.557,0.028,0.359,NA,2019
"Latvia",NA,53,5.94,NA,1.187,1.465,0.812,0.264,0.064,0.075,NA,2019
"South Korea",NA,54,5.895,NA,1.301,1.219,1.036,0.159,0.056,0.175,NA,2019
"Estonia",NA,55,5.893,NA,1.237,1.528,0.874,0.495,0.161,0.103,NA,2019
"Jamaica",NA,56,5.89,NA,0.831,1.478,0.831,0.49,0.028,0.107,NA,2019
"Mauritius",NA,57,5.888,NA,1.12,1.402,0.798,0.498,0.06,0.215,NA,2019
"Japan",NA,58,5.886,NA,1.327,1.419,1.088,0.445,0.14,0.069,NA,2019
"Honduras",NA,59,5.86,NA,0.642,1.236,0.828,0.507,0.078,0.246,NA,2019
"Kazakhstan",NA,60,5.809,NA,1.173,1.508,0.729,0.41,0.096,0.146,NA,2019
"Bolivia",NA,61,5.779,NA,0.776,1.209,0.706,0.511,0.064,0.137,NA,2019
"Hungary",NA,62,5.758,NA,1.201,1.41,0.828,0.199,0.02,0.081,NA,2019
"Paraguay",NA,63,5.743,NA,0.855,1.475,0.777,0.514,0.08,0.184,NA,2019
"Northern Cyprus",NA,64,5.718,NA,1.263,1.252,1.042,0.417,0.162,0.191,NA,2019
"Peru",NA,65,5.697,NA,0.96,1.274,0.854,0.455,0.027,0.083,NA,2019
"Portugal",NA,66,5.693,NA,1.221,1.431,0.999,0.508,0.025,0.047,NA,2019
"Pakistan",NA,67,5.653,NA,0.677,0.886,0.535,0.313,0.098,0.22,NA,2019
"Russia",NA,68,5.648,NA,1.183,1.452,0.726,0.334,0.031,0.082,NA,2019
"Philippines",NA,69,5.631,NA,0.807,1.293,0.657,0.558,0.107,0.117,NA,2019
"Serbia",NA,70,5.603,NA,1.004,1.383,0.854,0.282,0.039,0.137,NA,2019
"Moldova",NA,71,5.529,NA,0.685,1.328,0.739,0.245,0,0.181,NA,2019
"Libya",NA,72,5.525,NA,1.044,1.303,0.673,0.416,0.152,0.133,NA,2019
"Montenegro",NA,73,5.523,NA,1.051,1.361,0.871,0.197,0.08,0.142,NA,2019
"Tajikistan",NA,74,5.467,NA,0.493,1.098,0.718,0.389,0.144,0.23,NA,2019
"Croatia",NA,75,5.432,NA,1.155,1.266,0.914,0.296,0.022,0.119,NA,2019
"Hong Kong",NA,76,5.43,NA,1.438,1.277,1.122,0.44,0.287,0.258,NA,2019
"Dominican Republic",NA,77,5.425,NA,1.015,1.401,0.779,0.497,0.101,0.113,NA,2019
"Bosnia and Herzegovina",NA,78,5.386,NA,0.945,1.212,0.845,0.212,0.006,0.263,NA,2019
"Turkey",NA,79,5.373,NA,1.183,1.36,0.808,0.195,0.106,0.083,NA,2019
"Malaysia",NA,80,5.339,NA,1.221,1.171,0.828,0.508,0.024,0.26,NA,2019
"Belarus",NA,81,5.323,NA,1.067,1.465,0.789,0.235,0.142,0.094,NA,2019
"Greece",NA,82,5.287,NA,1.181,1.156,0.999,0.067,0.034,0,NA,2019
"Mongolia",NA,83,5.285,NA,0.948,1.531,0.667,0.317,0.038,0.235,NA,2019
"North Macedonia",NA,84,5.274,NA,0.983,1.294,0.838,0.345,0.034,0.185,NA,2019
"Nigeria",NA,85,5.265,NA,0.696,1.111,0.245,0.426,0.041,0.215,NA,2019
"Kyrgyzstan",NA,86,5.261,NA,0.551,1.438,0.723,0.508,0.023,0.3,NA,2019
"Turkmenistan",NA,87,5.247,NA,1.052,1.538,0.657,0.394,0.028,0.244,NA,2019
"Algeria",NA,88,5.211,NA,1.002,1.16,0.785,0.086,0.114,0.073,NA,2019
"Morocco",NA,89,5.208,NA,0.801,0.782,0.782,0.418,0.076,0.036,NA,2019
"Azerbaijan",NA,90,5.208,NA,1.043,1.147,0.769,0.351,0.182,0.035,NA,2019
"Lebanon",NA,91,5.197,NA,0.987,1.224,0.815,0.216,0.027,0.166,NA,2019
"Indonesia",NA,92,5.192,NA,0.931,1.203,0.66,0.491,0.028,0.498,NA,2019
"China",NA,93,5.191,NA,1.029,1.125,0.893,0.521,0.1,0.058,NA,2019
"Vietnam",NA,94,5.175,NA,0.741,1.346,0.851,0.543,0.073,0.147,NA,2019
"Bhutan",NA,95,5.082,NA,0.813,1.321,0.604,0.457,0.167,0.37,NA,2019
"Cameroon",NA,96,5.044,NA,0.549,0.91,0.331,0.381,0.037,0.187,NA,2019
"Bulgaria",NA,97,5.011,NA,1.092,1.513,0.815,0.311,0.004,0.081,NA,2019
"Ghana",NA,98,4.996,NA,0.611,0.868,0.486,0.381,0.04,0.245,NA,2019
"Ivory Coast",NA,99,4.944,NA,0.569,0.808,0.232,0.352,0.09,0.154,NA,2019
"Nepal",NA,100,4.913,NA,0.446,1.226,0.677,0.439,0.089,0.285,NA,2019
"Jordan",NA,101,4.906,NA,0.837,1.225,0.815,0.383,0.13,0.11,NA,2019
"Benin",NA,102,4.883,NA,0.393,0.437,0.397,0.349,0.082,0.175,NA,2019
"Congo (Brazzaville)",NA,103,4.812,NA,0.673,0.799,0.508,0.372,0.093,0.105,NA,2019
"Gabon",NA,104,4.799,NA,1.057,1.183,0.571,0.295,0.055,0.043,NA,2019
"Laos",NA,105,4.796,NA,0.764,1.03,0.551,0.547,0.164,0.266,NA,2019
"South Africa",NA,106,4.722,NA,0.96,1.351,0.469,0.389,0.055,0.13,NA,2019
"Albania",NA,107,4.719,NA,0.947,0.848,0.874,0.383,0.027,0.178,NA,2019
"Venezuela",NA,108,4.707,NA,0.96,1.427,0.805,0.154,0.047,0.064,NA,2019
"Cambodia",NA,109,4.7,NA,0.574,1.122,0.637,0.609,0.062,0.232,NA,2019
"Palestinian Territories",NA,110,4.696,NA,0.657,1.247,0.672,0.225,0.066,0.103,NA,2019
"Senegal",NA,111,4.681,NA,0.45,1.134,0.571,0.292,0.072,0.153,NA,2019
"Somalia",NA,112,4.668,NA,0,0.698,0.268,0.559,0.27,0.243,NA,2019
"Namibia",NA,113,4.639,NA,0.879,1.313,0.477,0.401,0.056,0.07,NA,2019
"Niger",NA,114,4.628,NA,0.138,0.774,0.366,0.318,0.102,0.188,NA,2019
"Burkina Faso",NA,115,4.587,NA,0.331,1.056,0.38,0.255,0.113,0.177,NA,2019
"Armenia",NA,116,4.559,NA,0.85,1.055,0.815,0.283,0.064,0.095,NA,2019
"Iran",NA,117,4.548,NA,1.1,0.842,0.785,0.305,0.125,0.27,NA,2019
"Guinea",NA,118,4.534,NA,0.38,0.829,0.375,0.332,0.086,0.207,NA,2019
"Georgia",NA,119,4.519,NA,0.886,0.666,0.752,0.346,0.164,0.043,NA,2019
"Gambia",NA,120,4.516,NA,0.308,0.939,0.428,0.382,0.167,0.269,NA,2019
"Kenya",NA,121,4.509,NA,0.512,0.983,0.581,0.431,0.053,0.372,NA,2019
"Mauritania",NA,122,4.49,NA,0.57,1.167,0.489,0.066,0.088,0.106,NA,2019
"Mozambique",NA,123,4.466,NA,0.204,0.986,0.39,0.494,0.138,0.197,NA,2019
"Tunisia",NA,124,4.461,NA,0.921,1,0.815,0.167,0.055,0.059,NA,2019
"Bangladesh",NA,125,4.456,NA,0.562,0.928,0.723,0.527,0.143,0.166,NA,2019
"Iraq",NA,126,4.437,NA,1.043,0.98,0.574,0.241,0.089,0.148,NA,2019
"Congo (Kinshasa)",NA,127,4.418,NA,0.094,1.125,0.357,0.269,0.053,0.212,NA,2019
"Mali",NA,128,4.39,NA,0.385,1.105,0.308,0.327,0.052,0.153,NA,2019
"Sierra Leone",NA,129,4.374,NA,0.268,0.841,0.242,0.309,0.045,0.252,NA,2019
"Sri Lanka",NA,130,4.366,NA,0.949,1.265,0.831,0.47,0.047,0.244,NA,2019
"Myanmar",NA,131,4.36,NA,0.71,1.181,0.555,0.525,0.172,0.566,NA,2019
"Chad",NA,132,4.35,NA,0.35,0.766,0.192,0.174,0.078,0.198,NA,2019
"Ukraine",NA,133,4.332,NA,0.82,1.39,0.739,0.178,0.01,0.187,NA,2019
"Ethiopia",NA,134,4.286,NA,0.336,1.033,0.532,0.344,0.1,0.209,NA,2019
"Swaziland",NA,135,4.212,NA,0.811,1.149,0,0.313,0.135,0.074,NA,2019
"Uganda",NA,136,4.189,NA,0.332,1.069,0.443,0.356,0.06,0.252,NA,2019
"Egypt",NA,137,4.166,NA,0.913,1.039,0.644,0.241,0.067,0.076,NA,2019
"Zambia",NA,138,4.107,NA,0.578,1.058,0.426,0.431,0.087,0.247,NA,2019
"Togo",NA,139,4.085,NA,0.275,0.572,0.41,0.293,0.085,0.177,NA,2019
"India",NA,140,4.015,NA,0.755,0.765,0.588,0.498,0.085,0.2,NA,2019
"Liberia",NA,141,3.975,NA,0.073,0.922,0.443,0.37,0.033,0.233,NA,2019
"Comoros",NA,142,3.973,NA,0.274,0.757,0.505,0.142,0.078,0.275,NA,2019
"Madagascar",NA,143,3.933,NA,0.274,0.916,0.555,0.148,0.041,0.169,NA,2019
"Lesotho",NA,144,3.802,NA,0.489,1.169,0.168,0.359,0.093,0.107,NA,2019
"Burundi",NA,145,3.775,NA,0.046,0.447,0.38,0.22,0.18,0.176,NA,2019
"Zimbabwe",NA,146,3.663,NA,0.366,1.114,0.433,0.361,0.089,0.151,NA,2019
"Haiti",NA,147,3.597,NA,0.323,0.688,0.449,0.026,0.11,0.419,NA,2019
"Botswana",NA,148,3.488,NA,1.041,1.145,0.538,0.455,0.1,0.025,NA,2019
"Syria",NA,149,3.462,NA,0.619,0.378,0.44,0.013,0.141,0.331,NA,2019
"Malawi",NA,150,3.41,NA,0.191,0.56,0.495,0.443,0.089,0.218,NA,2019
"Yemen",NA,151,3.38,NA,0.287,1.163,0.463,0.143,0.077,0.108,NA,2019
"Rwanda",NA,152,3.334,NA,0.359,0.711,0.614,0.555,0.411,0.217,NA,2019
"Tanzania",NA,153,3.231,NA,0.476,0.885,0.499,0.417,0.147,0.276,NA,2019
"Afghanistan",NA,154,3.203,NA,0.35,0.517,0.361,0,0.025,0.158,NA,2019
"Central African Republic",NA,155,3.083,NA,0.026,0,0.105,0.225,0.035,0.235,NA,2019
"South Sudan",NA,156,2.853,NA,0.306,0.575,0.295,0.01,0.091,0.202,NA,2019
