"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Taiwan",NA,26,6.441,NA,1.365,1.436,0.857,0.418,"0.078",0.151,NA,2018
"Panama",NA,27,6.43,NA,1.112,1.438,0.759,0.597,"0.063",0.125,NA,2018
"Brazil",NA,28,6.419,NA,0.986,1.474,0.675,0.493,"0.088",0.11,NA,2018
"Argentina",NA,29,6.388,NA,1.073,1.468,0.744,0.57,"0.054",0.062,NA,2018
"Guatemala",NA,30,6.382,NA,0.781,1.268,0.608,0.604,"0.071",0.179,NA,2018
"Uruguay",NA,31,6.379,NA,1.093,1.459,0.771,0.625,"0.155",0.13,NA,2018
"Qatar",NA,32,6.374,NA,1.649,1.303,0.748,0.654,"0.171",0.256,NA,2018
"Saudi Arabia",NA,33,6.371,NA,1.379,1.331,0.633,0.509,"0.127",0.098,NA,2018
"Singapore",NA,34,6.343,NA,1.529,1.451,1.008,0.631,"0.457",0.261,NA,2018
"Malaysia",NA,35,6.322,NA,1.161,1.258,0.669,0.356,"0.059",0.311,NA,2018
"Spain",NA,36,6.31,NA,1.251,1.538,0.965,0.449,"0.074",0.142,NA,2018
"Colombia",NA,37,6.26,NA,0.96,1.439,0.635,0.531,"0.039",0.099,NA,2018
"Trinidad & Tobago",NA,38,6.192,NA,1.223,1.492,0.564,0.575,"0.019",0.171,NA,2018
"Slovakia",NA,39,6.173,NA,1.21,1.537,0.776,0.354,"0.014",0.118,NA,2018
"El Salvador",NA,40,6.167,NA,0.806,1.231,0.639,0.461,"0.082",0.065,NA,2018
"Nicaragua",NA,41,6.141,NA,0.668,1.319,0.7,0.527,"0.128",0.208,NA,2018
"Poland",NA,42,6.123,NA,1.176,1.448,0.781,0.546,"0.064",0.108,NA,2018
"Bahrain",NA,43,6.105,NA,1.338,1.366,0.698,0.594,"0.123",0.243,NA,2018
"Uzbekistan",NA,44,6.096,NA,0.719,1.584,0.605,0.724,"0.259",0.328,NA,2018
"Kuwait",NA,45,6.083,NA,1.474,1.301,0.675,0.554,"0.106",0.167,NA,2018
"Thailand",NA,46,6.072,NA,1.016,1.417,0.707,0.637,"0.029",0.364,NA,2018
"Italy",NA,47,6,NA,1.264,1.501,0.946,0.281,"0.028",0.137,NA,2018
"Ecuador",NA,48,5.973,NA,0.889,1.33,0.736,0.556,"0.120",0.114,NA,2018
"Belize",NA,49,5.956,NA,0.807,1.101,0.474,0.593,"0.089",0.183,NA,2018
"Lithuania",NA,50,5.952,NA,1.197,1.527,0.716,0.35,"0.006",0.026,NA,2018
"Slovenia",NA,51,5.948,NA,1.219,1.506,0.856,0.633,"0.051",0.16,NA,2018
"Romania",NA,52,5.945,NA,1.116,1.219,0.726,0.528,"0.001",0.088,NA,2018
"Latvia",NA,53,5.933,NA,1.148,1.454,0.671,0.363,"0.066",0.092,NA,2018
"Japan",NA,54,5.915,NA,1.294,1.462,0.988,0.553,"0.150",0.079,NA,2018
"Mauritius",NA,55,5.891,NA,1.09,1.387,0.684,0.584,"0.050",0.245,NA,2018
"Jamaica",NA,56,5.89,NA,0.819,1.493,0.693,0.575,"0.031",0.096,NA,2018
"South Korea",NA,57,5.875,NA,1.266,1.204,0.955,0.244,"0.051",0.175,NA,2018
"Northern Cyprus",NA,58,5.835,NA,1.229,1.211,0.909,0.495,"0.154",0.179,NA,2018
"Russia",NA,59,5.81,NA,1.151,1.479,0.599,0.399,"0.025",0.065,NA,2018
"Kazakhstan",NA,60,5.79,NA,1.143,1.516,0.631,0.454,"0.121",0.148,NA,2018
"Cyprus",NA,61,5.762,NA,1.229,1.191,0.909,0.423,"0.035",0.202,NA,2018
"Bolivia",NA,62,5.752,NA,0.751,1.223,0.508,0.606,"0.054",0.141,NA,2018
"Estonia",NA,63,5.739,NA,1.2,1.532,0.737,0.553,"0.174",0.086,NA,2018
"Paraguay",NA,64,5.681,NA,0.835,1.522,0.615,0.541,"0.074",0.162,NA,2018
"Peru",NA,65,5.663,NA,0.934,1.249,0.674,0.53,"0.034",0.092,NA,2018
"Kosovo",NA,66,5.662,NA,0.855,1.23,0.578,0.448,"0.023",0.274,NA,2018
"Moldova",NA,67,5.64,NA,0.657,1.301,0.62,0.232,"0.000",0.171,NA,2018
"Turkmenistan",NA,68,5.636,NA,1.016,1.533,0.517,0.417,"0.037",0.199,NA,2018
"Hungary",NA,69,5.62,NA,1.171,1.401,0.732,0.259,"0.022",0.061,NA,2018
"Libya",NA,70,5.566,NA,0.985,1.35,0.553,0.496,"0.148",0.116,NA,2018
"Philippines",NA,71,5.524,NA,0.775,1.312,0.513,0.643,"0.105",0.12,NA,2018
"Honduras",NA,72,5.504,NA,0.62,1.205,0.622,0.459,"0.074",0.197,NA,2018
"Belarus",NA,73,5.483,NA,1.039,1.498,0.7,0.307,"0.154",0.101,NA,2018
"Turkey",NA,74,5.483,NA,1.148,1.38,0.686,0.324,"0.109",0.106,NA,2018
"Pakistan",NA,75,5.472,NA,0.652,0.81,0.424,0.334,"0.113",0.216,NA,2018
"Hong Kong",NA,76,5.43,NA,1.405,1.29,1.03,0.524,"0.291",0.246,NA,2018
"Portugal",NA,77,5.41,NA,1.188,1.429,0.884,0.562,"0.017",0.055,NA,2018
"Serbia",NA,78,5.398,NA,0.975,1.369,0.685,0.288,"0.043",0.134,NA,2018
"Greece",NA,79,5.358,NA,1.154,1.202,0.879,0.131,"0.044",0,NA,2018
"Lebanon",NA,80,5.358,NA,0.965,1.179,0.785,0.503,"0.136",0.214,NA,2018
"Montenegro",NA,81,5.347,NA,1.017,1.279,0.729,0.259,"0.081",0.111,NA,2018
"Croatia",NA,82,5.321,NA,1.115,1.161,0.737,0.38,"0.039",0.12,NA,2018
"Dominican Republic",NA,83,5.302,NA,0.982,1.441,0.614,0.578,"0.106",0.12,NA,2018
"Algeria",NA,84,5.295,NA,0.979,1.154,0.687,0.077,"0.135",0.055,NA,2018
"Morocco",NA,85,5.254,NA,0.779,0.797,0.669,0.46,"0.074",0.026,NA,2018
"China",NA,86,5.246,NA,0.989,1.142,0.799,0.597,"0.103",0.029,NA,2018
"Azerbaijan",NA,87,5.201,NA,1.024,1.161,0.603,0.43,"0.176",0.031,NA,2018
"Tajikistan",NA,88,5.199,NA,0.474,1.166,0.598,0.292,"0.034",0.187,NA,2018
"Macedonia",NA,89,5.185,NA,0.959,1.239,0.691,0.394,"0.052",0.173,NA,2018
"Jordan",NA,90,5.161,NA,0.822,1.265,0.645,0.468,"0.134",0.13,NA,2018
"Nigeria",NA,91,5.155,NA,0.689,1.172,0.048,0.462,"0.032",0.201,NA,2018
"Kyrgyzstan",NA,92,5.131,NA,0.53,1.416,0.594,0.54,"0.035",0.281,NA,2018
"Bosnia and Herzegovina",NA,93,5.129,NA,0.915,1.078,0.758,0.28,"0.000",0.216,NA,2018
"Mongolia",NA,94,5.125,NA,0.914,1.517,0.575,0.395,"0.032",0.253,NA,2018
"Vietnam",NA,95,5.103,NA,0.715,1.365,0.702,0.618,"0.079",0.177,NA,2018
"Indonesia",NA,96,5.093,NA,0.899,1.215,0.522,0.538,"0.018",0.484,NA,2018
"Bhutan",NA,97,5.082,NA,0.796,1.335,0.527,0.541,"0.171",0.364,NA,2018
"Somalia",NA,98,4.982,NA,0,0.712,0.115,0.674,"0.282",0.238,NA,2018
"Cameroon",NA,99,4.975,NA,0.535,0.891,0.182,0.454,"0.043",0.183,NA,2018
"Bulgaria",NA,100,4.933,NA,1.054,1.515,0.712,0.359,"0.009",0.064,NA,2018
"Nepal",NA,101,4.88,NA,0.425,1.228,0.539,0.526,"0.078",0.302,NA,2018
"Venezuela",NA,102,4.806,NA,0.996,1.469,0.657,0.133,"0.052",0.056,NA,2018
"Gabon",NA,103,4.758,NA,1.036,1.164,0.404,0.356,"0.052",0.032,NA,2018
"Palestinian Territories",NA,104,4.743,NA,0.642,1.217,0.602,0.266,"0.076",0.086,NA,2018
"South Africa",NA,105,4.724,NA,0.94,1.41,0.33,0.516,"0.056",0.103,NA,2018
"Iran",NA,106,4.707,NA,1.059,0.771,0.691,0.459,"0.129",0.282,NA,2018
"Ivory Coast",NA,107,4.671,NA,0.541,0.872,0.08,0.467,"0.103",0.146,NA,2018
"Ghana",NA,108,4.657,NA,0.592,0.896,0.337,0.499,"0.029",0.212,NA,2018
"Senegal",NA,109,4.631,NA,0.429,1.117,0.433,0.406,"0.082",0.138,NA,2018
"Laos",NA,110,4.623,NA,0.72,1.034,0.441,0.626,"0.174",0.23,NA,2018
"Tunisia",NA,111,4.592,NA,0.9,0.906,0.69,0.271,"0.063",0.04,NA,2018
"Albania",NA,112,4.586,NA,0.916,0.817,0.79,0.419,"0.032",0.149,NA,2018
"Sierra Leone",NA,113,4.571,NA,0.256,0.813,0,0.355,"0.053",0.238,NA,2018
"Congo (Brazzaville)",NA,114,4.559,NA,0.682,0.811,0.343,0.514,"0.077",0.091,NA,2018
"Bangladesh",NA,115,4.5,NA,0.532,0.85,0.579,0.58,"0.144",0.153,NA,2018
"Sri Lanka",NA,116,4.471,NA,0.918,1.314,0.672,0.585,"0.050",0.307,NA,2018
"Iraq",NA,117,4.456,NA,1.01,0.971,0.536,0.304,"0.095",0.148,NA,2018
"Mali",NA,118,4.447,NA,0.37,1.233,0.152,0.367,"0.056",0.139,NA,2018
"Namibia",NA,119,4.441,NA,0.874,1.281,0.365,0.519,"0.064",0.051,NA,2018
"Cambodia",NA,120,4.433,NA,0.549,1.088,0.457,0.696,"0.065",0.256,NA,2018
"Burkina Faso",NA,121,4.424,NA,0.314,1.097,0.254,0.312,"0.128",0.175,NA,2018
"Egypt",NA,122,4.419,NA,0.885,1.025,0.553,0.312,"0.107",0.092,NA,2018
"Mozambique",NA,123,4.417,NA,0.198,0.902,0.173,0.531,"0.158",0.206,NA,2018
"Kenya",NA,124,4.41,NA,0.493,1.048,0.454,0.504,"0.055",0.352,NA,2018
"Zambia",NA,125,4.377,NA,0.562,1.047,0.295,0.503,"0.082",0.221,NA,2018
"Mauritania",NA,126,4.356,NA,0.557,1.245,0.292,0.129,"0.093",0.134,NA,2018
"Ethiopia",NA,127,4.35,NA,0.308,0.95,0.391,0.452,"0.146",0.22,NA,2018
"Georgia",NA,128,4.34,NA,0.853,0.592,0.643,0.375,"0.215",0.038,NA,2018
"Armenia",NA,129,4.321,NA,0.816,0.99,0.666,0.26,"0.028",0.077,NA,2018
"Myanmar",NA,130,4.308,NA,0.682,1.174,0.429,0.58,"0.178",0.598,NA,2018
"Chad",NA,131,4.301,NA,0.358,0.907,0.053,0.189,"0.060",0.181,NA,2018
"Congo (Kinshasa)",NA,132,4.245,NA,0.069,1.136,0.204,0.312,"0.052",0.197,NA,2018
"India",NA,133,4.19,NA,0.721,0.747,0.485,0.539,"0.093",0.172,NA,2018
"Niger",NA,134,4.166,NA,0.131,0.867,0.221,0.39,"0.099",0.175,NA,2018
"Uganda",NA,135,4.161,NA,0.322,1.09,0.237,0.45,"0.061",0.259,NA,2018
"Benin",NA,136,4.141,NA,0.378,0.372,0.24,0.44,"0.067",0.163,NA,2018
"Sudan",NA,137,4.139,NA,0.605,1.24,0.312,0.016,"0.082",0.134,NA,2018
"Ukraine",NA,138,4.103,NA,0.793,1.413,0.609,0.163,"0.011",0.187,NA,2018
"Togo",NA,139,3.999,NA,0.259,0.474,0.253,0.434,"0.101",0.158,NA,2018
"Guinea",NA,140,3.964,NA,0.344,0.792,0.211,0.394,"0.094",0.185,NA,2018
"Lesotho",NA,141,3.808,NA,0.472,1.215,0.079,0.423,"0.112",0.116,NA,2018
"Angola",NA,142,3.795,NA,0.73,1.125,0.269,0,"0.061",0.079,NA,2018
"Madagascar",NA,143,3.774,NA,0.262,0.908,0.402,0.221,"0.049",0.155,NA,2018
"Zimbabwe",NA,144,3.692,NA,0.357,1.094,0.248,0.406,"0.099",0.132,NA,2018
"Afghanistan",NA,145,3.632,NA,0.332,0.537,0.255,0.085,"0.036",0.191,NA,2018
"Botswana",NA,146,3.59,NA,1.017,1.174,0.417,0.557,"0.092",0.042,NA,2018
"Malawi",NA,147,3.587,NA,0.186,0.541,0.306,0.531,"0.080",0.21,NA,2018
"Haiti",NA,148,3.582,NA,0.315,0.714,0.289,0.025,"0.104",0.392,NA,2018
"Liberia",NA,149,3.495,NA,0.076,0.858,0.267,0.419,"0.030",0.206,NA,2018
"Syria",NA,150,3.462,NA,0.689,0.382,0.539,0.088,"0.144",0.376,NA,2018
"Rwanda",NA,151,3.408,NA,0.332,0.896,0.4,0.636,"0.444",0.2,NA,2018
"Yemen",NA,152,3.355,NA,0.442,1.073,0.343,0.244,"0.064",0.083,NA,2018
"Tanzania",NA,153,3.303,NA,0.455,0.991,0.381,0.481,"0.097",0.27,NA,2018
"South Sudan",NA,154,3.254,NA,0.337,0.608,0.177,0.112,"0.106",0.224,NA,2018
"Central African Republic",NA,155,3.083,NA,0.024,0,0.01,0.305,"0.038",0.218,NA,2018
"Burundi",NA,156,2.905,NA,0.091,0.627,0.145,0.065,"0.076",0.149,NA,2018
